"tract","Name","Teenage_Birth_Rate_women_only_rW_gF_p25"
34039033700,"Roselle Park, NJ",0.0813
36081056700,"Queens County, NY",0.0812
36081080900,"Queens County, NY",0.0811
34039033900,"Roselle Park, NJ",0.0811
36081063301,"Queens County, NY",0.081
36047047800,"Kings County, NY",0.0808
36081060100,"Queens County, NY",0.0807
36047032600,"Kings County, NY",0.0804
36081004200,"Queens County, NY",0.0803
36081063700,"Queens County, NY",0.0803
34039031801,"Elizabeth, NJ",0.0802
36047074200,"Kings County, NY",0.0802
36059405000,"Elmont, NY",0.0802
36059302400,"Albertson, NY",0.08
36047057000,"Kings County, NY",0.08
36059414800,"North Bellmore, NY",0.0799
34023001410,"Edison, NJ",0.0799
36081003000,"Queens County, NY",0.0798
36047076000,"Kings County, NY",0.0796
34027043301,"Morristown, NJ",0.0796
36047014100,"Kings County, NY",0.0795
36081099701,"Queens County, NY",0.0792
34003005000,"Carlstadt, NJ",0.0789
34003019204,"Fort Lee, NJ",0.0789
36081088400,"Queens County, NY",0.0788
36059406001,"West Hempstead, NY",0.0785
36061014402,"Yorkville, New York, NY",0.0784
34039035000,"Linden, NJ",0.0783
36081130100,"Queens County, NY",0.0783
34003041301,"Palisades Park, NJ",0.0782
34031175900,"Passaic, NJ",0.0781
36047013600,"Kings County, NY",0.0781
36081100802,"Queens County, NY",0.078
36085006400,"Richmond County, NY",0.078
36047038800,"Kings County, NY",0.0779
36047030600,"Kings County, NY",0.0777
36047027400,"Kings County, NY",0.0776
36047041402,"Kings County, NY",0.0776
34003021600,"Garfield, NJ",0.0775
34039031500,"Elizabeth, NJ",0.0774
36059415600,"Wantagh, NY",0.0772
36081009800,"Queens County, NY",0.0772
36081013200,"Queens County, NY",0.0771
36059404500,"Floral Park, NY",0.077
36047018000,"Kings County, NY",0.077
36047009200,"Kings County, NY",0.0768
34017007100,"Journal Square, Jersey City, NJ",0.0766
34017015002,"Guttenberg, NJ",0.0764
36081006300,"Queens County, NY",0.0763
36081005900,"Queens County, NY",0.0762
36059404400,"Floral Park, NY",0.0761
36061015500,"Lincoln Square, New York, NY",0.0761
36047049900,"Kings County, NY",0.0761
36047058400,"Kings County, NY",0.076
36061013800,"Upper East Side, New York, NY",0.0759
36081077904,"Queens County, NY",0.0758
36081005800,"Queens County, NY",0.0758
34031264101,"Woodland Park, NJ",0.0757
36047026000,"Kings County, NY",0.0756
34023001504,"Edison, NJ",0.0756
36059406100,"West Hempstead, NY",0.0755
36081054200,"Queens County, NY",0.0755
36061014200,"Upper East Side, New York, NY",0.0754
36081067900,"Queens County, NY",0.0754
36085029102,"Richmond County, NY",0.0753
36085012805,"Richmond County, NY",0.0753
36047099800,"Kings County, NY",0.0752
36081100801,"Queens County, NY",0.0751
36059411901,"Lynbrook, NY",0.075
34031124900,"Clifton, NJ",0.075
36059413804,"Baldwin, NY",0.075
36085017010,"Richmond County, NY",0.0748
36059518000,"Oyster Bay, NY",0.0746
34003038200,"North Arlington, NJ",0.0743
34017014102,"North Bergen, NJ",0.0742
34039038202,"Berkeley Heights, NJ",0.0742
36047065400,"Kings County, NY",0.0741
36081109900,"Queens County, NY",0.0741
34027044102,"Gillette, NJ",0.074
36059517500,"Glen Head, NY",0.074
36081027900,"Queens County, NY",0.0739
36081049500,"Queens County, NY",0.0738
36059410700,"Valley Stream, NY",0.0738
34017000902,"Journal Square, Jersey City, NJ",0.0737
36005030701,"Bronx County, NY",0.0736
36081026300,"Queens County, NY",0.0735
36059517101,"Glen Cove, NY",0.0735
36085030301,"Richmond County, NY",0.0733
36047006800,"Kings County, NY",0.0732
