tract,Neighborhood,City,State,Teenage_Birth_Rate_women_only_rP_gF_pall,Income
24510190200,Pratt Monroe, Baltimore, MD,0.4248,High
24510100100,Johnson Square, Baltimore, MD,0.4212,High
24510080301,Berea, Baltimore, MD,0.4133,High
24510150400,Mondawmin, Baltimore, MD,0.4123,High
24510210200,Pigtown, Baltimore, MD,0.4064,High
24510280200,Gwynn Oak, Baltimore, MD,0.4053,High
24510270701,Harford - Echodale - Perring Parkway, Baltimore, MD,0.4007,High
24510160801,Edmondson, Baltimore, MD,0.3974,High
24510150300,Coppin Heights, Baltimore, MD,0.3966,High
24510070400,Gay Street, Baltimore, MD,0.3913,High
24510170200,McCulloh Homes, Baltimore, MD,0.3912,High
24510120400,Barclay, Baltimore, MD,0.3865,High
24510150200,Sandtown-Winchester, Baltimore, MD,0.3828,High
24510150702,Walbrook, Baltimore, MD,0.3753,High
24510260403,Cedonia, Baltimore, MD,0.3685,High
24510180200,Poppleton, Baltimore, MD,0.3629,High
24510250301,Westport, Baltimore, MD,0.357,High
24510080200,Broadway East, Baltimore, MD,0.3549,High
24510080302,Berea, Baltimore, MD,0.3508,High
24510130804,Hampden, Baltimore, MD,0.3487,High
24510070300,Milton - Montford, Baltimore, MD,0.3455,High
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.3451,High
24510230300,South Baltimore, Baltimore, MD,0.3436,High
24510030100,Perkins Homes, Baltimore, MD,0.3417,High
24510250303,Morrell Park, Baltimore, MD,0.3409,High
24510271002,Winston - Govans, Baltimore, MD,0.3341,High
24510090800,East Baltimore Midway, Baltimore, MD,0.3336,High
24510080600,Broadway East, Baltimore, MD,0.3318,High
24510200800,Irvington, Baltimore, MD,0.3292,High
24510271600,Edgecomb, Baltimore, MD,0.3266,High
24510260302,Belair - Edison, Baltimore, MD,0.3218,High
24510160500,Bridgeview-Greenlawn, Baltimore, MD,0.3169,High
24510260303,Claremont - Freedom, Baltimore, MD,0.314,High
24510120700,Remington, Baltimore, MD,0.3104,High
24510180100,Poppleton, Baltimore, MD,0.3066,High
24510200300,Bentalou-Smallwood, Baltimore, MD,0.3063,High
24510270802,Ramblewood, Baltimore, MD,0.3058,High
24510271801,Arlington, Baltimore, MD,0.3024,High
24510160300,Sandtown-Winchester, Baltimore, MD,0.3017,High
24510200200,Lexington, Baltimore, MD,0.2956,High
24510250205,Lakeland, Baltimore, MD,0.2936,High
24510270901,New Northwood, Baltimore, MD,0.2925,High
24510060100,Patterson Park, Baltimore, MD,0.2922,High
24510260202,Parkside, Baltimore, MD,0.2911,High
24510210100,Pigtown, Baltimore, MD,0.289,High
24510090200,Ednor Gardens - Lakeside, Baltimore, MD,0.2856,High
24510200400,Shipley Hill, Baltimore, MD,0.2853,High
24510150100,Sandtown-Winchester, Baltimore, MD,0.2821,High
24005402304,Gwynn Oak, Baltimore, MD,0.2816,High
24510151300,Central Park Heights, Baltimore, MD,0.2814,High
24510270902,Perring Loch, Baltimore, MD,0.2814,High
24510270803,Loch Raven, Baltimore, MD,0.2812,High
24510280404,Irvington, Baltimore, MD,0.2783,High
